"R0000100","R0004500","R0005500","R0005700","R0005900","R0006000","R0006800","R0007200","R0007500","R0009100","R0011600","R0011800","R0012800","R0013700","R0014100","R0441100","R0443000","R0443300","R0443900","R0444300","R0444400","R0444500","R0444600","R0446200","R0446500","R0450100","R0457200","R0492100","R0492300","R0492500","R0492700","R0492900","R0493100","R0493300","R0493500","R0493700","R0493900","R0494100","R0499200","R0527200","R0527500","R0529400"
72,2,-4,-4,-4,-4,-4,-4,-4,6,2,2,2,-4,-4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
73,-4,1,1,0,0,0,-4,0,6,3,2,2,-4,-4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
74,-4,1,1,0,0,0,-4,1,6,5,3,1,-4,-4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
75,-4,1,1,6,0,0,-4,0,6,7,2,2,-4,-4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
76,-4,0,1,11,0,0,-4,1,6,-4,-4,-4,-4,-4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
77,-4,1,1,1,0,0,-4,0,6,-4,-4,-4,-4,-4,-4,-4,-4,0,-4,-4,-4,-4,-4,0,-4,1,1,3,2,1,4,4,1,1,4,1,4,0,0,0,-4
78,2,-4,-4,-4,-4,-4,-4,-4,6,-4,-4,-4,-4,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
79,2,-4,-4,-4,-4,-4,-4,-4,6,5,7,1,-4,-4,-4,-4,-4,1,-4,-4,-4,-4,2,0,-4,1,3,3,3,2,2,3,2,3,3,2,3,1,0,0,-4
80,-4,0,1,0,0,0,-4,1,6,5,1,1,-4,-4,-4,1,-4,0,-4,-4,-4,-4,-4,0,-4,3,1,3,1,1,1,1,1,1,4,1,1,0,0,1,0
81,-4,0,0,-4,0,0,-4,1,6,-4,-4,-4,-4,-4,-4,-4,-4,0,-4,-4,-4,-4,-4,0,-4,3,3,4,4,3,3,3,1,1,4,3,3,0,0,1,1
82,-4,0,1,7,1,0,-4,0,2,4,2,1,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,1,1,-4,3,1,1,1,2,1,1,2,1,2,3,3,0,0,1,0
