"R0000100","R0004500","R0005500","R0005700","R0005900","R0006000","R0006800","R0007200","R0007500","R0009100","R0011600","R0011800","R0012800","R0013700","R0014100","R0441100","R0443000","R0443300","R0443900","R0444300","R0444400","R0444500","R0444600","R0446200","R0446500","R0450100","R0457200","R0492100","R0492300","R0492500","R0492700","R0492900","R0493100","R0493300","R0493500","R0493700","R0493900","R0494100","R0499200","R0527200","R0527500","R0529400"
2596,2,-4,-4,-4,-4,-4,-4,-4,6,5,0,1,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,1,0,-4,1,3,3,3,2,4,2,2,3,4,4,3,1,0,0,1
2597,2,-4,-4,-4,-4,-4,-4,-4,6,5,2,1,-4,-4,1,-4,-4,-4,-4,-4,-4,-4,-4,1,-4,3,1,1,1,1,1,1,1,1,1,3,1,0,0,1,0
2598,2,-4,-4,-4,-4,-4,-4,-4,6,-4,-4,-4,0,0,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
2599,-4,0,1,0,1,0,-4,0,6,5,2,1,-4,-4,-4,0,-4,1,-4,-4,-4,-4,-4,0,0,-4,1,2,4,2,1,2,2,2,1,1,3,1,0,0,0
2600,-4,0,1,6,0,0,-4,1,6,2,3,1,-4,-4,-4,-4,-4,0,-4,-4,-4,-4,-4,0,-4,3,2,2,1,3,2,3,1,4,4,3,3,0,0,0,0
2601,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
2602,2,-4,-4,-4,-4,-4,-4,-4,6,-4,-4,-4,-4,-4,-4,-4,-4,1,-4,-4,-4,-4,1,0,-4,3,2,1,4,4,3,4,3,2,3,4,3,0,0,0,1
2603,2,-4,-4,-4,-4,-4,-4,-4,6,3,3,2,-4,-4,-4,-4,-4,0,-4,-4,-4,-4,-4,0,-4,2,1,3,1,2,2,2,3,2,3,4,3,0,0,0,1
2604,-4,0,1,6,0,0,-4,1,6,-4,-4,-4,1,0,-4,-4,-4,-4,-4,-4,-4,-4,2,0,-4,1,3,3,2,4,3,4,2,1,4,2,3,0,0,0,-4
2605,2,-4,-4,-4,-4,-4,-4,-4,6,5,3,2,-4,-4,-4,0,-4,1,-4,-4,-4,-4,-4,0,-4,3,1,4,3,1,1,3,1,1,1,1,1,0,0,0,1
2606,1,-4,-4,-4,-4,-4,-4,-4,6,5,3,1,-4,-4,-4,0,-4,1,-4,-4,-4,-4,-4,0,-4,1,2,1,2,1,3,3,1,1,1,3,3,0,0,0,1
2607,2,-4,-4,-4,-4,-4,-4,-4,6,5,3,2,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,0,-4,3,1,1,2,2,3,2,2,3,3,3,3,1,0,1,0
2608,-4,1,1,0,0,0,-4,0,6,5,2,1,-4,-4,-4,0,-4,0,-4,-4,-4,-4,-4,0,-4,3,1,2,2,1,1,2,1,1,1,2,3,1,0,1,1
2609,-4,0,1,6,1,0,-4,1,6,4,2,1,-4,-4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
2610,-4,1,1,0,1,0,-4,0,6,7,2,2,-4,-4,-4,0,-4,1,-4,-4,-4,-4,-4,0,-4,1,1,1,1,4,1,1,2,1,3,1,1,0,0,0,0
2611,-4,1,1,0,0,0,-4,0,6,4,5,1,-4,-4,-4,1,-4,1,-4,-4,-4,-4,-4,0,-4,3,1,3,1,2,3,2,2,1,2,4,3,0,0,0,1
2612,2,-4,-4,-4,-4,-4,-4,-4,6,7,2,1,-4,-4,-4,0,-4,0,-4,-4,-4,-4,-4,0,-4,3,1,1,2,2,2,1,1,1,3,1,1,0,0,1,1
2613,-4,0,1,-4,0,0,-4,0,6,2,4,1,-4,-4,-4,1,-4,1,-4,-4,-4,-4,1,0,-4,1,3,1,1,3,2,1,1,1,3,4,2,0,0,1,1
2614,2,-4,-4,-4,-4,-4,-4,-4,6,5,3,1,-4,-4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
2615,2,-4,-4,-4,-4,-4,-4,-4,6,-4,-4,2,0,0,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
2616,2,-4,-4,-4,-4,-4,-4,-4,6,-4,-4,-4,2,0,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
2617,1,-4,-4,-4,-4,-4,-4,-4,6,-4,-4,-4,0,0,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
2618,-4,-4,-4,-4,-4,-4,-4,-4,6,-4,-4,-4,2,0,-4,-4,-4,0,-4,-4,-4,-4,1,0,-4,3,2,2,2,2,1,1,1,1,2,2,2,0,0,1,1
2619,-4,1,1,0,0,0,-4,0,6,-4,-4,-4,0,1,-4,-4,-4,-4,-4,-4,-4,-4,1,0,-4,3,1,3,1,3,1,1,1,2,2,3,1,0,1,0,1
2620,-4,1,1,0,0,0,-4,0,6,-4,-4,-4,0,0,-4,0,-4,1,-4,-4,-4,-4,-4,1,-4,1,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,0,0,0,0
2621,2,-4,-4,-4,-4,-4,-4,-4,6,-4,-4,-4,0,0,-4,-4,-4,1,-4,-4,-4,-4,1,0,-4,-4,2,4,3,4,1,1,-4,1,1,4,4,0,0,1,1
2622,2,-4,-4,-4,-4,-4,-4,-4,6,6,5,2,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,0,-4,-4,1,3,3,1,1,3,3,4,3,2,2,1,0,0,-4
2623,2,-4,-4,-4,-4,-4,-4,-4,6,1,4,2,-4,-4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
2624,-4,1,1,0,0,0,-4,0,6,7,2,2,-4,-4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
2625,2,-4,-4,-4,-4,-4,-4,-4,6,-4,-4,-4,-4,-4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
2626,2,-4,-4,-4,-4,-4,-4,-4,6,2,5,1,-4,-4,-4,-4,-4,1,-4,-4,-4,-4,-4,1,-4,1,2,1,1,1,1,1,1,1,1,1,2,0,0,0,1
2627,2,-4,-4,-4,-4,-4,-4,-4,6,-4,-4,-4,-4,-4,-4,-4,-4,1,-4,-4,-4,-4,1,0,-4,1,4,2,2,1,1,1,1,1,2,2,2,0,0,1,1
2628,-4,1,1,4,1,0,-4,1,6,7,2,2,-4,-4,-4,-4,-4,1,-4,-4,-4,-4,-4,0,-4,1,1,2,2,2,1,1,1,1,1,1,1,1,0,1,1
2629,2,-4,-4,-4,-4,-4,-4,-4,6,7,5,1,-4,-4,-4,0,-4,0,2,2,1,2,-4,1,-4,3,1,4,1,1,1,1,1,1,2,1,1,0,0,0,1
2630,-4,0,1,3,0,0,-4,0,6,3,0,3,-4,-4,-4,0,-4,1,-4,-4,-4,-4,-4,0,0,-4,1,4,3,2,3,3,1,1,3,1,3,1,0,1,-4
2631,-4,0,1,2,0,0,-4,0,6,5,0,2,-4,-4,-4,-4,-4,1,-4,-4,-4,-4,-4,0,-4,-4,1,2,1,1,1,1,1,1,4,4,1,0,0,0,-4
2632,2,-4,-4,-4,-4,-4,-4,-4,1,-4,-4,-4,1,0,-4,-4,-4,1,-4,-4,-4,-4,1,1,-4,-4,1,1,4,2,1,2,1,1,3,1,1,0,0,0,1
2633,2,-4,-4,-4,-4,-4,-4,-4,6,5,2,2,-4,-4,-4,-4,-4,1,-4,-4,-4,-4,1,0,-4,1,1,1,4,4,1,1,1,1,4,4,4,0,0,1,1
2634,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,0,-4,-4,-4,-4,-4,0,-4,3,1,1,2,1,1,1,1,1,1,2,3,0,0,0,-4
2635,-4,0,1,6,0,0,-4,0,6,7,6,3,-4,-4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
2636,2,-4,-4,-4,-4,-4,-4,-4,6,3,2,2,0,0,-4,-4,-4,0,-4,-4,-4,-4,-4,0,-4,2,1,1,4,1,1,1,1,1,3,4,1,0,0,0,0
2637,2,-4,-4,-4,-4,-4,-4,-4,6,2,3,2,-4,-4,-4,-4,-4,0,-4,-4,-4,-4,-4,0,-4,3,1,1,1,2,1,1,1,1,2,3,1,0,0,0,0
2638,2,-4,-4,-4,-4,-4,-4,-4,6,4,2,1,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,2,0,-4,2,1,3,1,1,2,2,2,1,3,2,2,0,0,0,0
2639,2,-4,-4,-4,-4,-4,-4,-4,6,1,4,1,-4,-4,-4,-4,-4,0,-4,-4,-4,-4,1,0,-4,-4,1,1,1,4,1,1,1,1,4,1,3,1,1,0,0
2640,-4,1,0,-4,0,0,-4,0,6,8,2,3,-4,-4,-4,0,-4,0,-4,-4,-4,-4,-4,0,-4,3,1,2,2,1,1,1,1,2,3,1,3,0,0,1,0
2641,-4,1,1,-2,1,0,-4,0,2,-4,-4,-4,-4,-4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
2642,-4,1,1,0,0,0,-4,1,6,5,0,1,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,1,0,-4,3,2,2,1,2,1,1,1,1,3,3,2,0,0,1,0
2643,2,-4,-4,-4,-4,-4,-4,-4,6,4,0,1,0,0,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
2644,2,-4,-4,-4,-4,-4,-4,-4,6,2,5,2,-4,-4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
2645,-4,0,1,0,1,0,-4,0,1,3,2,3,-4,-4,-4,0,-4,1,-4,-4,-4,-4,1,1,-4,1,1,4,2,3,1,1,1,2,1,3,1,0,0,1,1
2646,2,-4,-4,-4,-4,-4,-4,-4,6,5,3,1,-4,-4,-4,-4,-4,1,-4,-4,-4,-4,1,0,-4,1,-4,1,-4,4,2,2,1,2,-4,4,-4,0,0,0,1
2647,2,-4,-4,-4,-4,-4,-4,-4,6,3,2,1,-4,-4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
2648,2,-4,-4,-4,-4,-4,-4,-4,6,2,0,2,-4,-4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
2649,2,-4,-4,-4,-4,-4,-4,-4,6,-4,-4,-4,-4,-4,-4,1,-4,0,-4,-4,-4,-4,2,0,-4,2,1,2,1,1,1,1,1,1,2,3,1,1,0,0,1
2650,2,-4,-4,-4,-4,-4,-4,-4,6,2,5,1,-4,-4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
2651,-4,0,1,-4,0,0,-4,0,6,5,0,2,-4,-4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
2652,2,-4,-4,-4,-4,-4,-4,-4,6,7,0,2,-4,-4,1,-4,-4,-4,-4,-4,-4,-4,-4,0,-4,3,1,2,1,1,3,2,1,1,3,1,3,1,0,1,1
2653,2,-4,-4,-4,-4,-4,-4,-4,6,5,7,2,-4,-4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
2654,2,-4,-4,-4,-4,-4,-4,-4,6,-4,-4,-4,-4,-4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
2655,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
2656,-4,0,1,0,0,1,1,0,2,2,5,1,-4,-4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
2657,-4,0,1,4,1,0,-4,0,6,7,2,1,-4,-4,-4,0,-4,1,-4,-4,-4,-4,-4,0,1,-4,2,4,2,1,1,1,1,2,2,2,2,1,0,1,0
2658,-4,1,1,6,0,0,-4,0,6,-4,-4,-4,-4,-4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
2659,-4,0,1,6,0,0,-4,0,2,5,3,2,-4,-4,-4,0,-4,0,-4,-4,-4,-4,-4,1,-4,2,1,4,1,1,3,1,1,1,4,3,1,0,0,1,1
2660,-4,1,1,13,0,0,-4,0,6,-4,-4,-4,-4,-4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
2661,-4,1,1,6,0,0,-4,0,6,7,8,3,-4,-4,-4,0,-4,1,-4,-4,-4,-4,-4,0,-4,1,1,2,4,4,2,1,1,3,1,2,2,0,0,1,0
2662,-4,1,1,9,0,0,-4,0,6,7,0,3,-4,-4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
2663,-4,1,1,-2,0,0,-4,0,6,-4,-4,-4,-4,-4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
2664,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
2665,-4,1,1,6,1,0,-4,0,6,2,4,2,-4,-4,-4,-4,-4,1,-4,-4,-4,-4,-4,0,-4,-4,1,2,4,1,1,4,2,2,1,4,1,1,1,1,0
2666,2,-4,-4,-4,-4,-4,-4,-4,6,3,2,2,-4,-4,0,-4,-4,-4,-4,-4,-4,-4,-4,1,-4,1,1,2,1,4,4,2,1,1,3,1,3,1,0,0,1
2667,2,-4,-4,-4,-4,-4,-4,-4,6,7,3,2,-4,-4,-4,-4,-4,0,-4,-4,-4,-4,1,0,-4,3,1,4,4,1,4,2,1,1,4,4,4,0,0,1,1
2668,-4,1,1,1,0,0,-4,0,6,-4,-4,-4,-4,-4,-4,-4,-4,1,-4,-4,-4,-4,-4,0,-4,3,1,3,1,1,1,4,1,2,3,2,4,0,1,1,1
2669,-4,0,1,-2,0,0,-4,0,6,7,3,1,-4,-4,-4,-4,-4,0,-4,-4,-4,-4,-4,0,-4,3,1,2,1,2,1,2,2,1,2,3,3,0,0,1,1
2670,-4,0,0,-4,0,0,-4,0,2,2,2,3,-4,-4,-4,0,-4,0,-4,-4,-4,-4,-4,1,-4,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0
2671,-4,1,1,0,0,0,-4,0,6,5,2,2,-4,-4,-4,0,-4,0,-4,-4,-4,-4,-4,0,-4,3,3,3,4,4,3,1,3,4,2,3,4,0,0,1,0
2672,-4,1,1,5,0,0,-4,0,1,5,2,2,-4,-4,-4,0,-4,1,-4,-4,-4,-4,1,1,-4,2,1,2,1,1,1,1,1,1,1,1,2,0,0,1,1
2673,2,-4,-4,-4,-4,-4,-4,-4,6,-4,-4,-4,2,1,-4,-4,-4,0,-4,-4,-4,-4,-4,0,-4,3,1,1,1,1,1,2,1,1,3,2,2,0,1,1,0
2674,2,-4,-4,-4,-4,-4,-4,-4,6,-4,-4,-4,2,1,-4,-4,-4,0,-4,-4,-4,-4,1,0,-4,3,2,1,2,2,1,1,2,2,3,3,2,0,0,1,0
2675,2,-4,-4,-4,-4,-4,-4,-4,6,5,1,1,0,0,0,-4,-4,-4,-4,-4,-4,-4,-4,0,-4,3,3,3,2,2,2,1,2,3,3,3,3,0,0,0,0
2676,2,-4,-4,-4,-4,-4,-4,-4,6,7,5,1,-4,-4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
2677,2,-4,-4,-4,-4,-4,-4,-4,6,7,4,1,-4,-4,0,-4,-4,-4,-4,-4,-4,-4,-4,0,-4,1,1,3,1,4,1,1,1,1,3,3,3,0,0,1,0
2678,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,1,-4,-4,-4,-4,-4,0,-4,3,2,1,1,3,2,3,2,4,3,3,2,0,0,0,1
2679,2,-4,-4,-4,-4,-4,-4,-4,6,-4,-4,-4,0,0,1,-4,-4,-4,-4,-4,-4,-4,-4,0,-4,3,1,3,1,1,2,1,1,1,4,4,2,1,0,0,0
2680,2,-4,-4,-4,-4,-4,-4,-4,6,5,2,1,-4,-4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
2681,2,-4,-4,-4,-4,-4,-4,-4,6,-4,-4,-4,-4,-4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
2682,-4,1,1,6,0,0,-4,0,6,3,2,2,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,2,0,-4,1,1,3,1,1,1,1,1,1,4,1,1,0,0,0,-4
2683,1,-4,-4,-4,-4,-4,-4,-4,6,2,4,1,0,0,-4,-4,-4,1,-4,-4,-4,-4,1,0,-4,3,1,2,1,1,2,3,1,1,3,4,1,0,0,1,0
2684,2,-4,-4,-4,-4,-4,-4,-4,6,-4,-4,-4,0,0,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
2685,2,-4,-4,-4,-4,-4,-4,-4,6,-4,-4,-4,0,1,-4,-4,-4,0,-4,-4,-4,-4,1,1,-4,-4,1,3,1,1,1,1,1,1,1,1,1,0,0,0,0
2686,2,-4,-4,-4,-4,-4,-4,-4,6,-4,-4,-4,0,0,-4,-4,-4,0,-4,-4,-4,-4,1,1,-4,3,2,1,1,1,4,1,3,3,3,4,3,0,0,0,0
2687,-4,1,1,6,0,0,-4,0,6,5,0,1,-4,-4,-4,-4,-4,1,-4,-4,-4,-4,-4,0,-4,1,3,4,3,4,4,4,4,1,2,1,1,0,0,0,-4
2688,-4,0,1,1,0,0,-4,0,6,2,5,2,-4,-4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
2689,-4,1,1,2,0,0,-4,0,1,3,0,1,-4,-4,-4,-4,-4,1,-4,-4,-4,-4,-4,1,-4,3,3,3,3,3,3,3,2,3,3,3,3,1,0,0,0
2690,-4,1,1,9,0,1,1,0,6,5,4,2,-4,-4,-4,-4,-4,1,-4,-4,-4,-4,-4,0,-4,1,1,1,1,1,1,3,1,1,4,2,2,0,0,0,0
2691,-4,0,1,0,0,0,-4,0,6,0,0,2,-4,-4,-4,0,-4,0,-4,-4,-4,-4,-4,1,-4,3,2,2,2,2,2,3,1,2,3,3,2,0,0,0,1
2692,-4,1,1,6,0,0,-4,0,2,6,3,1,-4,-4,-4,0,-4,1,-4,-4,-4,-4,-4,1,-4,3,2,3,2,1,2,1,2,4,4,2,2,0,0,0,0
2693,2,-4,-4,-4,-4,-4,-4,-4,6,7,3,3,-4,-4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
2694,-4,1,1,11,0,0,-4,1,6,0,0,3,-4,-4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
2695,-4,0,1,-2,0,0,-4,0,6,-4,-4,-4,0,1,-4,-4,-4,-4,-4,-4,-4,-4,-4,0,-4,3,4,3,3,1,2,1,2,2,3,2,2,0,0,1,1
2696,1,-4,-4,-4,-4,-4,-4,-4,1,3,0,1,0,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
2697,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,1,-4,-4,-4,-4,-4,0,1,-4,1,2,1,1,2,4,1,1,3,1,1,1,0,0,-4
2698,2,-4,-4,-4,-4,-4,-4,-4,6,-4,-4,-4,0,0,-4,-4,-4,0,-4,-4,-4,-4,-4,1,-4,-4,4,3,1,1,1,3,3,1,4,4,1,0,0,0,1
2699,2,-4,-4,-4,-4,-4,-4,-4,6,1,0,1,-4,-4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
2700,-4,1,1,6,0,0,-4,0,6,-4,-4,-4,-4,-4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
2701,-4,1,1,-2,1,0,-4,0,2,5,4,1,-4,-4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
2702,-4,1,1,-2,0,0,-4,0,6,-4,-4,-4,0,1,0,-4,-4,-4,-4,-4,-4,-4,-4,0,-4,-4,1,4,3,2,1,1,1,2,3,3,2,0,0,1,0
2703,-4,0,0,-4,0,0,-4,0,6,3,2,2,-4,-4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
2704,2,-4,-4,-4,-4,-4,-4,-4,6,7,4,2,-4,-4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
2705,2,-4,-4,-4,-4,-4,-4,-4,6,4,5,1,-4,-4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
2706,1,-4,-4,-4,-4,-4,-4,-4,6,5,2,1,0,0,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
2707,3,-4,-4,-4,-4,-4,-4,-4,6,2,5,2,-4,-4,-4,-4,-4,1,-4,-4,-4,-4,-4,0,-4,3,1,2,2,1,2,2,1,1,1,2,3,0,0,0,-4
2708,1,-4,-4,-4,-4,-4,-4,-4,6,-4,-4,-4,0,0,-4,-4,-4,1,-4,-4,-4,-4,-4,0,-4,3,4,1,4,4,3,3,3,3,4,4,4,0,0,1,1
2709,2,-4,-4,-4,-4,-4,-4,-4,6,4,0,1,-4,-4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
2710,2,-4,-4,-4,-4,-4,-4,-4,6,5,4,2,0,0,-4,-4,-4,1,-4,-4,-4,-4,-4,0,-4,1,1,1,2,2,1,1,2,3,2,3,3,0,0,0,1
2711,-4,1,1,-2,1,0,-4,0,6,5,2,2,-4,-4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
2712,-4,-4,-4,-4,-4,-4,-4,-4,6,-4,-4,-4,2,1,-4,-4,-4,1,-4,-4,-4,-4,-4,0,-4,3,2,3,3,3,2,2,2,1,3,4,2,0,1,0,1
2713,-4,1,1,-2,0,0,-4,0,6,3,5,1,-4,-4,-4,-4,-4,1,-4,-4,-4,-4,1,0,-4,3,1,4,4,4,4,3,2,2,4,3,4,0,0,1,0
2714,-4,1,1,6,1,0,-4,0,6,8,5,1,-4,-4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
2715,-4,0,1,-2,0,0,-4,1,6,-4,-4,-4,-4,-4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
2716,2,-4,-4,-4,-4,-4,-4,-4,6,7,5,3,-4,-4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
2717,2,-4,-4,-4,-4,-4,-4,-4,6,7,0,1,-4,-4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
2718,-4,1,1,11,0,0,-4,0,6,2,5,2,-4,-4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
2719,2,-4,-4,-4,-4,-4,-4,-4,6,4,0,2,-4,-4,-4,0,-4,0,-4,-4,-4,-4,-4,1,0,-4,4,4,4,4,4,4,4,3,3,-4,3,0,0,0,1
2720,2,-4,-4,-4,-4,-4,-4,-4,6,-4,-4,-4,-4,-4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
2721,2,-4,-4,-4,-4,-4,-4,-4,6,4,5,2,-4,-4,-4,0,-4,0,-4,-4,-4,-4,-4,0,-4,3,2,3,3,3,3,3,3,3,3,3,3,0,0,0,1
